Q36b,Q37b,Q38b,QRID,Q39b,Q5,Q6,country,Q15a,Q15b
Yes,Yes,,1014428,Yes,Favor,Legal in all cases,Austria,Seldom,
Yes,Yes,Yes,1014464,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Don't know (DO NOT READ),,1014480,Yes,Oppose,Legal in most cases,Austria,A few times a year,
Yes,Yes,Yes,1014510,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1014515,,Oppose,Legal in most cases,Austria,Seldom,
Yes,Yes,,1014529,Yes,Favor,Illegal in most cases,Austria,Once or twice a month,
Yes,Yes,Yes,1014537,Yes,Favor,Legal in most cases,Austria,Never,
Yes,,Yes,1014611,Yes,Strongly oppose,Illegal in all cases,Austria,,Once or twice a month
Yes,Yes,Yes,1014617,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1014626,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,Yes,1014643,Yes,Strongly favor,Legal in most cases,Austria,Never,
Yes,Yes,,1014645,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1014649,Yes,Oppose,Legal in most cases,Austria,Seldom,
Yes,Yes,Yes,1014665,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1014673,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1014682,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1014702,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1014711,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1014724,Yes,Oppose,Illegal in all cases,Austria,Once a week,
Yes,Yes,,1014755,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,No,,1014760,Yes,Favor,Refused (DO NOT READ),Austria,Never,
No,No,,1014771,No,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,Yes,1014774,Yes,Strongly favor,Legal in all cases,Austria,Seldom,
Yes,Yes,,1014781,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1014784,Yes,Favor,Legal in all cases,Austria,A few times a year,
Yes,Yes,,1014791,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1014831,Yes,Strongly favor,Legal in most cases,Austria,Never,
Yes,Yes,,1014847,Yes,Strongly favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1014858,Yes,Strongly favor,Legal in most cases,Austria,Seldom,
Yes,Yes,Yes,1014862,,Strongly favor,Legal in most cases,Austria,Seldom,
Yes,,Yes,1014886,Yes,Strongly oppose,Illegal in all cases,Austria,,More than once a week
Yes,Yes,Yes,1014913,,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1014919,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,Yes,1014940,Yes,Strongly favor,Legal in most cases,Austria,Seldom,
Yes,Other / Both / Neither / Depends (DO NOT READ),,1014957,Yes,Oppose,Illegal in most cases,Austria,Once or twice a month,
Yes,Yes,,1014968,Yes,Oppose,Legal in most cases,Austria,Never,
Don't know (DO NOT READ),Don't know (DO NOT READ),,1014997,Yes,Favor,Legal in all cases,Austria,Seldom,
Yes,No,,1015027,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1015051,Yes,Favor,Illegal in most cases,Austria,Seldom,
Yes,Yes,,1015069,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,No,Yes,1015076,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1015105,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,Yes,1015107,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1015122,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1015148,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1015165,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Don't know (DO NOT READ),Yes,1015168,Yes,Strongly favor,Legal in most cases,Austria,Never,
Yes,Yes,,1015210,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,No,,1015218,Yes,Oppose,Illegal in all cases,Austria,Once a week,
Yes,No,Yes,1015227,,Strongly oppose,Illegal in most cases,Austria,Once or twice a month,
Yes,No,,1015230,Yes,Strongly oppose,Illegal in all cases,Austria,Never,
Yes,Yes,,1015234,Yes,Favor,Legal in most cases,Austria,Once a week,
Yes,Yes,,1015260,Yes,Oppose,Legal in most cases,Austria,Never,
Yes,Yes,,1015278,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,Yes,1015305,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1015335,Yes,Strongly oppose,Illegal in all cases,Austria,Once or twice a month,
Yes,Yes,,1015337,Yes,Favor,Legal in all cases,Austria,More than once a week,
Yes,Yes,,1015368,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1015372,Yes,Strongly favor,Legal in most cases,Austria,Never,
Yes,Yes,,1015383,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1015384,Yes,Oppose,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1015405,No,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1015414,Yes,Don't know (DO NOT READ),Illegal in all cases,Austria,Once a week,
Yes,Yes,,1015428,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1015439,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1015444,Yes,Oppose,Illegal in most cases,Austria,Once a week,
Yes,Yes,Yes,1015446,Yes,Favor,Legal in all cases,Austria,Never,
Yes,Yes,,1015476,Yes,Favor,Legal in all cases,Austria,Once or twice a month,
Yes,Yes,,1015479,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1015480,Yes,Strongly oppose,Legal in most cases,Austria,Once a week,
Yes,Yes,,1015491,Yes,Strongly favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1015512,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1015521,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1015546,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1015654,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,,Yes,1015718,Yes,Favor,Legal in most cases,Austria,,Never
Yes,Yes,,1015752,Yes,Oppose,Illegal in most cases,Austria,Once a week,
Yes,Yes,,1015762,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1015823,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1015833,Yes,Oppose,Legal in most cases,Austria,Seldom,
Yes,Yes,,1015837,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1015864,Yes,Favor,Legal in all cases,Austria,A few times a year,
Yes,Other / Both / Neither / Depends (DO NOT READ),,1015865,Yes,Strongly oppose,Illegal in most cases,Austria,Once or twice a month,
Yes,Yes,,1015915,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1015943,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1015957,Yes,Strongly oppose,Illegal in all cases,Austria,More than once a week,
Yes,Yes,Yes,1016013,Yes,Strongly favor,Legal in all cases,Austria,A few times a year,
Yes,Yes,,1016024,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,Yes,1016025,Yes,Oppose,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1016031,Yes,Favor,Legal in all cases,Austria,Never,
Yes,Yes,Yes,1016034,Yes,Oppose,Illegal in all cases,Austria,Once a week,
Yes,Yes,,1016041,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1016042,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,No,,1016046,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1016091,Yes,Favor,Legal in most cases,Austria,Never,
Yes,,Yes,1016109,Yes,Favor,Legal in most cases,Austria,,Never
Yes,Yes,,1016118,Yes,Favor,Legal in all cases,Austria,A few times a year,
Yes,Yes,,1016131,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1016152,,Don't know (DO NOT READ),Legal in most cases,Austria,A few times a year,
Yes,Yes,Yes,1016169,Yes,Strongly favor,Legal in most cases,Austria,Never,
Yes,Yes,,1016181,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1016185,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1016186,Yes,Strongly favor,Legal in all cases,Austria,Never,
Yes,Yes,Yes,1016203,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1016251,Yes,Favor,Illegal in most cases,Austria,Once or twice a month,
Other / Both / Neither / Depends (DO NOT READ),,No,1016281,No,Strongly oppose,Illegal in all cases,Austria,,More than once a week
Yes,Yes,Yes,1016284,Yes,Favor,Legal in all cases,Austria,Never,
Yes,Yes,Yes,1016307,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1016339,Yes,Oppose,Legal in most cases,Austria,Never,
Yes,Yes,,1016345,Yes,Strongly favor,Legal in all cases,Austria,Never,
No,Yes,,1016360,Yes,Favor,Legal in most cases,Austria,Never,
Yes,No,,1016367,Yes,Favor,Legal in all cases,Austria,Never,
Yes,Other / Both / Neither / Depends (DO NOT READ),,1016391,Yes,Strongly favor,Legal in all cases,Austria,Seldom,
Yes,Yes,Yes,1016404,,Favor,Legal in most cases,Austria,A few times a year,
No,,No,1016405,No,Strongly oppose,Illegal in all cases,Austria,,More than once a week
Yes,Yes,Yes,1016453,Yes,Strongly favor,Legal in all cases,Austria,Never,
Yes,Yes,,1016454,Yes,Favor,Legal in all cases,Austria,Never,
No,,No,1016492,No,Strongly oppose,Illegal in all cases,Austria,,More than once a week
Yes,Yes,,1016525,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Refused (DO NOT READ),,1016541,Yes,Refused (DO NOT READ),Legal in most cases,Austria,Once or twice a month,
Yes,Yes,Yes,1016558,Yes,Favor,Illegal in most cases,Austria,Once or twice a month,
No,No,,1016568,Yes,Favor,Legal in most cases,Austria,Never,
No,No,,1016570,Yes,Strongly oppose,Illegal in all cases,Austria,A few times a year,
Other / Both / Neither / Depends (DO NOT READ),Other / Both / Neither / Depends (DO NOT READ),,1016577,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1016589,Yes,Refused (DO NOT READ),Illegal in most cases,Austria,Once or twice a month,
Yes,Yes,Yes,1016606,Yes,Favor,Legal in most cases,Austria,Never,
Don't know (DO NOT READ),No,,1016620,Yes,Oppose,Legal in most cases,Austria,Never,
Other / Both / Neither / Depends (DO NOT READ),Yes,Yes,1016624,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1016636,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1016655,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1016688,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,,1016702,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1016738,,Favor,Legal in all cases,Austria,Seldom,
Yes,Yes,,1016746,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,Yes,1016749,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1016817,Yes,Strongly oppose,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1016853,Yes,Favor,Legal in all cases,Austria,Never,
Yes,Yes,Yes,1016876,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1016962,Yes,Favor,Legal in most cases,Austria,More than once a week,
Yes,Yes,Yes,1016995,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1017002,Yes,Oppose,Legal in most cases,Austria,Never,
Yes,Yes,,1017022,Yes,Strongly oppose,Illegal in all cases,Austria,Never,
Yes,Yes,,1017033,Yes,Favor,Legal in most cases,Austria,Once or twice a month,
Yes,Yes,Yes,1017060,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1017083,Yes,Favor,Legal in most cases,Austria,Seldom,
Yes,Yes,,1017088,Yes,Favor,Illegal in all cases,Austria,Never,
Yes,No,,1017097,Yes,Strongly oppose,Illegal in all cases,Austria,Once a week,
Yes,Yes,,1017100,Yes,Strongly favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1017107,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1017110,Yes,Favor,Illegal in most cases,Austria,Never,
Yes,Yes,,1017114,Yes,Strongly oppose,Illegal in most cases,Austria,More than once a week,
Yes,Don't know (DO NOT READ),,1017115,Yes,Favor,Legal in all cases,Austria,Never,
Yes,Yes,Yes,1017128,Yes,Oppose,Legal in most cases,Austria,Never,
Yes,Other / Both / Neither / Depends (DO NOT READ),,1017139,Yes,Strongly favor,Legal in all cases,Austria,A few times a year,
Yes,Yes,,1017140,Yes,Favor,Illegal in most cases,Austria,Seldom,
Yes,Yes,,1017164,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1017166,Yes,Strongly oppose,Illegal in most cases,Austria,Never,
Yes,Yes,,1017169,Yes,Strongly favor,Legal in most cases,Austria,Seldom,
Yes,Yes,Yes,1017170,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,Yes,1017186,Yes,Strongly favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1017192,Yes,Favor,Legal in all cases,Austria,A few times a year,
No,No,Yes,1017208,Yes,Favor,Legal in most cases,Austria,Never,
Yes,No,,1017213,Yes,Favor,Legal in all cases,Austria,Seldom,
Yes,No,,1017252,Yes,Strongly oppose,Illegal in all cases,Austria,Never,
Yes,Yes,Yes,1017261,Yes,Favor,Legal in most cases,Austria,Never,
Yes,Yes,,1017289,Yes,Favor,Legal in most cases,Austria,A few times a year,
Yes,Yes,,1017319,Yes,Oppose,Illegal in most cases,Austria,Once or twice a month,
